,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,New Zealand 1M,5.640,5.640,5.640,5.630,0.000,0.00%,22/05,
,New Zealand 2M,5.650,5.650,5.650,5.640,0.000,0.00%,22/05,
,New Zealand 3M,5.650,5.650,5.650,5.640,0.000,0.00%,22/05,
,New Zealand 4M,5.650,5.650,5.650,5.630,+0.020,+0.00%,22/05,
,New Zealand 5M,5.650,5.650,5.650,5.620,+0.030,+0.00%,22/05,
,New Zealand 6M,5.650,5.650,5.650,5.610,+0.040,+0.00%,22/05,
,New Zealand 1Y,5.308,5.318,5.308,5.305,-0.000,0.00%,20/05,
,New Zealand 2Y,4.911,4.873,4.880,4.798,+0.037,+0.77%,01:11:30,
,New Zealand 5Y,4.628,4.598,4.620,4.545,+0.030,+0.66%,01:11:31,
,New Zealand 7Y,4.689,4.658,4.675,4.603,+0.032,+0.68%,01:11:30,
,New Zealand 10Y,4.802,4.768,4.780,4.713,+0.035,+0.72%,01:11:31,
,New Zealand 15Y,4.944,4.905,4.930,4.863,+0.038,+0.78%,01:11:28,
,New Zealand 20Y,5.051,5.010,5.043,4.975,+0.041,+0.82%,01:11:29,
