,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Bangladesh 3M,12.180,11.680,11.680,11.650,+0.500,+4.28%,01:26:32,
,Bangladesh 6M,12.160,11.830,11.830,11.800,+0.330,+2.79%,01:26:32,
,Bangladesh 1Y,12.015,12.030,12.030,12.000,-0.015,-0.12%,01:26:32,
,Bangladesh 2Y,12.420,12.080,12.080,12.050,+0.340,+2.81%,01:26:33,
,Bangladesh 5Y,12.785,12.430,12.430,12.400,+0.355,+2.86%,01:26:32,
,Bangladesh 10Y,12.525,12.180,12.180,12.150,+0.345,+2.83%,01:26:33,
,Bangladesh 15Y,12.575,12.230,12.230,12.200,+0.345,+2.82%,01:26:32,
,Bangladesh 20Y,12.630,12.280,12.280,12.250,+0.350,+2.85%,01:26:33,
