,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Vietnam 1Y,1.922,1.972,1.972,1.972,-0.050,-2.54%,01:19:45,
,Vietnam 2Y,1.933,1.983,1.983,1.983,-0.050,-2.52%,01:19:43,
,Vietnam 3Y,1.967,2.017,2.017,2.017,-0.050,-2.48%,01:19:45,
,Vietnam 5Y,2.167,2.217,2.217,2.217,-0.051,-2.28%,01:19:44,
,Vietnam 7Y,2.425,2.475,2.475,2.475,+-0.050,+-2.02%,01:19:45,
,Vietnam 10Y,2.884,2.959,2.959,2.959,+-0.075,+-2.53%,01:19:44,
,Vietnam 15Y,3.106,3.147,3.147,3.147,+-0.041,+-1.29%,01:19:46,
,Vietnam 20Y,3.157,3.197,3.197,3.197,-0.040,-1.25%,03:22:20,
,Vietnam 30Y,3.225,3.265,3.265,3.265,-0.040,-1.23%,09:44:21,
