,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Kenya Overnight,13.641,13.648,13.648,13.641,0.000,0.00%,01:54:04,
,Kenya 3M,15.937,15.937,15.937,15.937,+0.00,+0.00%,16/05,
,Kenya 6M,16.518,16.518,16.518,16.518,+0.00,+0.00%,16/05,
,Kenya 1Y,16.529,16.529,16.529,16.529,+0.00,+0.00%,16/05,
,Kenya 2Y,17.629,17.140,17.140,17.140,+0.000,+0.00%,02:03:14,
,Kenya 3Y,17.408,16.810,16.810,16.810,+0.000,+0.00%,02:03:05,
,Kenya 4Y,17.909,17.230,17.230,17.230,+0.000,+0.00%,02:03:07,
,Kenya 5Y,18.095,17.400,17.404,17.400,+0.000,+0.00%,02:03:02,
,Kenya 6Y,18.220,17.510,17.510,17.510,+0.000,+0.00%,02:03:01,
,Kenya 7Y,18.473,17.740,17.740,17.740,+0.000,+0.00%,02:03:06,
,Kenya 8Y,18.187,17.480,17.480,17.480,+0.000,+0.00%,02:03:01,
,Kenya 9Y,18.006,17.310,17.310,17.310,+0.000,+0.00%,02:03:09,
,Kenya 10Y,17.910,17.220,17.220,17.220,+0.000,+0.00%,02:03:01,
,Kenya 15Y,17.205,16.570,17.205,17.205,+0.635,+3.83%,02:03:04,
,Kenya 20Y,17.118,16.490,17.118,17.118,+0.627,+3.81%,02:03:01,
,Kenya 25Y,17.129,16.500,17.129,17.129,+0.000,+0.00%,02:03:10,
