,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Netherlands 1M,3.884,3.860,3.995,3.589,+0.024,+0.62%,11:04:54,
,Netherlands 3M,3.645,3.616,3.901,3.551,+0.029,+0.80%,11:57:00,
,Netherlands 6M,3.573,3.545,3.887,-0.020,+0.028,+0.79%,11:39:10,
,Netherlands 2Y,2.988,3.014,3.130,2.337,-0.026,-0.86%,11:58:37,
,Netherlands 3Y,2.835,2.851,2.911,2.116,-0.016,-0.56%,11:58:54,
,Netherlands 4Y,2.769,2.777,2.868,2.090,-0.008,-0.29%,11:58:53,
,Netherlands 5Y,2.726,2.733,2.843,2.041,-0.007,-0.26%,11:58:45,
,Netherlands 6Y,2.726,2.733,2.830,2.044,-0.007,-0.26%,11:58:54,
,Netherlands 7Y,2.730,2.732,2.818,2.076,-0.002,-0.07%,11:58:56,
,Netherlands 8Y,2.761,2.767,2.863,2.130,-0.006,-0.22%,11:58:52,
,Netherlands 9Y,2.785,2.787,2.871,1.250,-0.002,-0.07%,11:58:58,
,Netherlands 10Y,2.826,2.829,2.899,2.190,-0.003,-0.11%,11:58:58,
,Netherlands 15Y,2.899,2.907,3.013,2.340,-0.008,-0.28%,11:35:57,
,Netherlands 20Y,2.918,2.924,3.016,2.380,-0.006,-0.21%,11:58:56,
,Netherlands 25Y,2.874,2.879,2.980,2.332,-0.005,-0.17%,11:35:57,
,Netherlands 30Y,2.855,2.860,2.958,2.318,-0.005,-0.17%,11:58:56,
