,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Slovenia 1Y,3.774,3.828,4.024,3.644,+0.000,+0.00%,22/05,
,Slovenia 3Y,3.333,3.462,3.548,2.879,-0.129,-3.73%,03:23:15,
,Slovenia 4Y,3.146,3.220,3.310,2.811,-0.074,-2.30%,03:23:15,
,Slovenia 5Y,3.016,3.077,3.180,2.723,-0.061,-1.98%,03:23:15,
,Slovenia 7Y,2.882,2.929,3.022,2.623,-0.047,-1.60%,03:23:21,
,Slovenia 8Y,2.915,2.955,3.113,2.713,-0.040,-1.35%,03:23:04,
,Slovenia 10Y,3.060,3.113,3.194,2.843,-0.053,-1.70%,03:23:15,
,Slovenia 15Y,3.217,3.271,3.414,3.035,-0.054,-1.65%,03:23:25,
,Slovenia 20Y,3.359,3.431,3.511,3.160,-0.072,-2.10%,03:23:24,
,Slovenia 25Y,3.457,3.508,3.597,3.229,-0.051,-1.45%,03:23:21,
