,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Slovakia 2Y,3.488,3.569,3.571,3.546,-0.081,-2.27%,03:22:53,
,Slovakia 5Y,3.129,3.273,3.310,3.192,-0.143,-4.38%,03:22:29,
,Slovakia 6Y,3.28,3.34,3.35,3.32,-0.06,-1.84%,03:22:51,
,Slovakia 8Y,3.405,3.503,3.472,3.438,-0.098,-2.80%,03:22:58,
,Slovakia 9Y,3.466,3.517,3.529,3.502,-0.051,-1.45%,03:22:56,
,Slovakia 10Y,3.50,3.54,3.54,3.52,-0.04,-1.13%,03:23:03,
,Slovakia 13Y,3.739,3.842,3.831,3.772,-0.103,-2.68%,03:22:26,
,Slovakia 18Y,3.748,3.851,3.927,3.789,-0.103,-2.67%,03:22:45,
,Slovakia 30Y,3.688,3.754,3.725,3.712,-0.067,-1.77%,03:22:47,
,Slovakia 50Y,3.767,3.812,3.812,3.801,-0.045,-1.19%,03:23:02,
