,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Indonesia 1M,5.697,5.607,6.614,5.571,+0.042,+0.74%,02:10:44,
,Indonesia 3M,5.861,5.778,6.406,5.857,+0.105,+1.82%,02:10:44,
,Indonesia 6M,6.108,6.059,6.656,5.970,+0.000,+0.00%,20/05,
,Indonesia 1Y,6.677,6.594,7.361,6.358,+0.084,+1.27%,04:51:22,
,Indonesia 3Y,6.829,6.804,8.115,6.162,-0.007,-0.10%,04:51:24,
,Indonesia 5Y,6.971,6.876,7.254,6.495,+0.114,+1.66%,05:23:06,
,Indonesia 10Y,6.949,6.842,7.386,6.647,+0.066,+0.96%,04:51:58,
,Indonesia 15Y,7.049,6.946,7.322,6.799,+0.094,+1.35%,04:51:21,
,Indonesia 20Y,7.079,6.971,7.289,6.841,+0.103,+1.48%,04:51:24,
,Indonesia 25Y,7.108,7.007,7.194,6.870,+0.106,+1.51%,04:51:21,
,Indonesia 30Y,7.042,6.937,7.364,6.912,+0.125,+1.81%,04:51:21,
