,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Japan 1M,0.032,0.035,0.053,-0.099,-0.003,-8.57%,22/05,
,Japan 3M,0.035,0.040,0.073,-0.075,-0.005,-12.50%,22/05,
,Japan 6M,0.081,0.086,0.098,-0.060,-0.005,-5.81%,22/05,
,Japan 9M,0.110,0.115,0.114,0.020,-0.005,-4.35%,22/05,
,Japan 1Y,0.165,0.171,0.174,0.032,-0.006,-3.51%,01:14:57,
,Japan 2Y,0.337,0.345,0.350,0.168,-0.008,-2.32%,01:12:35,
,Japan 3Y,0.408,0.419,0.420,0.187,-0.011,-2.63%,01:14:17,
,Japan 4Y,0.481,0.494,0.496,0.277,-0.013,-2.63%,01:14:57,
,Japan 5Y,0.582,0.585,0.593,0.342,-0.003,-0.51%,01:14:57,
,Japan 6Y,0.615,0.629,0.632,0.388,-0.014,-2.23%,01:14:56,
,Japan 7Y,0.704,0.724,0.722,0.466,-0.020,-2.76%,01:09:14,
,Japan 8Y,0.803,0.825,0.819,0.558,-0.022,-2.67%,01:14:21,
,Japan 9Y,0.899,0.916,0.909,0.640,-0.017,-1.86%,01:12:09,
,Japan 10Y,0.990,0.995,0.999,0.696,-0.005,-0.50%,01:04:59,
,Japan 15Y,1.482,1.587,1.482,1.136,-0.105,-6.62%,01:14:58,
,Japan 20Y,1.822,1.827,1.832,1.437,-0.005,-0.27%,01:08:45,
,Japan 30Y,2.106,2.139,2.119,1.737,-0.033,-1.54%,01:14:39,
,Japan 40Y,2.323,2.334,2.334,1.871,-0.011,-0.47%,01:14:39,
