,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Belgium 1M,3.734,3.718,3.977,3.471,+0.016,+0.43%,03:21:55,
,Belgium 3M,3.628,3.607,4.032,0.000,+0.021,+0.58%,03:23:00,
,Belgium 6M,3.556,3.558,3.907,0.000,-0.002,-0.06%,03:23:12,
,Belgium 9M,3.507,3.508,3.765,3.229,-0.001,-0.03%,03:23:01,
,Belgium 2Y,3.131,3.145,3.152,2.319,-0.014,-0.45%,03:23:20,
,Belgium 3Y,2.933,2.950,2.976,2.173,-0.017,-0.58%,03:23:17,
,Belgium 4Y,2.872,2.901,2.930,2.117,-0.029,-1.00%,03:23:22,
,Belgium 5Y,2.825,2.842,3.069,2.160,-0.017,-0.60%,03:23:23,
,Belgium 6Y,2.846,2.865,2.951,2.210,-0.019,-0.66%,03:23:22,
,Belgium 7Y,2.877,2.892,2.994,2.295,-0.015,-0.52%,03:23:21,
,Belgium 8Y,2.901,2.928,3.037,2.330,-0.027,-0.92%,03:23:22,
,Belgium 9Y,2.908,2.934,3.082,2.370,-0.026,-0.89%,03:23:22,
,Belgium 10Y,3.040,3.061,3.202,1.393,-0.021,-0.69%,03:23:22,
,Belgium 15Y,3.249,3.276,3.405,2.773,-0.027,-0.82%,03:23:22,
,Belgium 20Y,3.384,3.408,3.537,2.907,-0.024,-0.70%,03:23:24,
,Belgium 30Y,3.486,3.512,3.625,3.024,-0.026,-0.74%,03:23:22,
,Belgium 50Y,2.974,3.002,3.121,2.561,-0.028,-0.93%,03:23:25,
