,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Australia 1Y,4.304,4.283,4.404,4.040,+0.021,+0.49%,03:21:27,
,Australia 2Y,4.031,4.017,4.255,3.752,+0.014,+0.35%,03:22:25,
,Australia 3Y,3.973,3.957,4.208,3.694,+0.016,+0.40%,03:22:25,
,Australia 4Y,3.973,3.953,4.220,3.686,+0.020,+0.51%,03:23:21,
,Australia 5Y,4.002,3.981,4.275,3.735,+0.021,+0.53%,03:23:21,
,Australia 6Y,4.068,4.050,4.365,3.848,+0.018,+0.44%,03:23:22,
,Australia 7Y,4.154,4.132,4.412,3.901,+0.022,+0.53%,03:23:21,
,Australia 8Y,4.225,4.201,4.527,4.022,+0.024,+0.57%,03:23:21,
,Australia 9Y,4.260,4.234,4.567,4.073,+0.026,+0.61%,03:23:21,
,Australia 10Y,4.300,4.273,4.605,4.084,+0.027,+0.63%,03:23:19,
,Australia 12Y,4.343,4.316,4.649,4.166,+0.027,+0.63%,03:23:20,
,Australia 15Y,4.505,4.477,4.791,4.330,+0.028,+0.63%,03:23:19,
,Australia 20Y,4.697,4.646,4.944,4.501,+0.051,+1.10%,02:04:41,
,Australia 30Y,4.668,4.621,4.924,4.488,+0.047,+1.02%,02:04:41,
