,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Portugal 3M,3.758,3.789,4.104,0.094,-0.031,-0.82%,11:29:04,
,Portugal 6M,0.010,3.727,4.124,-0.059,-3.717,-99.73%,14:01:04,
,Portugal 1Y,3.509,3.545,3.799,0.015,-0.036,-1.02%,11:35:36,
,Portugal 2Y,3.010,3.020,3.010,2.245,-0.010,-0.33%,13:16:32,
,Portugal 3Y,2.854,2.887,2.883,1.954,-0.033,-1.14%,13:16:34,
,Portugal 4Y,2.737,2.756,2.797,2.079,-0.019,-0.69%,12:51:47,
,Portugal 5Y,2.779,2.784,2.839,2.027,-0.005,-0.18%,13:00:04,
,Portugal 6Y,2.798,2.820,2.859,2.230,-0.022,-0.78%,13:16:25,
,Portugal 7Y,2.811,2.830,2.904,2.280,-0.019,-0.67%,11:35:59,
,Portugal 8Y,2.874,2.889,2.981,2.377,-0.015,-0.52%,13:00:17,
,Portugal 9Y,2.947,2.969,3.070,2.463,-0.022,-0.74%,12:00:12,
,Portugal 10Y,3.164,3.169,3.294,2.583,-0.005,-0.16%,15:59:34,
,Portugal 15Y,3.383,3.389,3.520,2.912,-0.006,-0.18%,16:01:47,
,Portugal 20Y,3.469,3.471,3.597,2.960,-0.002,-0.06%,13:00:29,
,Portugal 30Y,3.571,3.575,3.694,3.120,-0.004,-0.11%,11:35:57,
