,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Chile 1Y,5.300,5.300,5.300,5.300,+0.020,+0.00%,22/05,
,Chile 2Y,5.180,5.180,5.180,5.180,0.000,0.00%,22/05,
,Chile 3Y,6.820,6.820,6.830,6.820,0.000,0.00%,11/10,
,Chile 4Y,5.650,5.650,5.650,5.650,-0.030,0.00%,22/05,
,Chile 4Y,2.620,2.620,2.620,2.620,+0.020,+0.00%,22/05,
,Chile 5Y,5.720,5.720,5.720,5.720,-0.010,0.00%,22/05,
,Chile 8Y,5.880,5.880,5.880,5.880,+0.010,+0.00%,22/05,
,Chile 10Y,5.920,5.920,5.920,5.920,+0.010,+0.00%,22/05,
,Chile 20Y,5.980,5.980,5.980,5.980,+0.010,+0.00%,22/05,
,Chile 30Y,5.940,5.940,5.940,5.940,+0.010,+0.00%,22/05,
