,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Thailand 1Y,2.368,2.400,2.400,2.400,0.000,0.00%,19/01,
,Thailand 2Y,2.368,2.400,2.400,2.400,0.000,0.00%,19/01,
,Thailand 3Y,2.350,2.350,2.350,2.350,0.000,0.00%,17/05,
,Thailand 4Y,2.464,2.570,2.570,2.570,0.000,0.00%,19/01,
,Thailand 5Y,2.528,2.560,2.560,2.530,0.000,0.00%,23:59:05,
,Thailand 7Y,2.662,2.690,2.690,2.690,0.000,0.00%,19/01,
,Thailand 10Y,2.829,2.830,2.840,2.830,0.000,0.00%,21:46:05,
,Thailand 12Y,2.840,2.890,2.890,2.890,0.000,0.00%,19/01,
,Thailand 14Y,2.957,2.980,2.980,2.980,0.000,0.00%,19/01,
,Thailand 15Y,3.037,3.050,3.050,3.040,-0.013,-0.41%,23:59:09,
,Thailand 16Y,3.155,3.200,3.200,3.200,0.000,0.00%,19/01,
,Thailand 20Y,3.302,3.310,3.310,3.310,+0.000,+0.00%,23:59:08,
