,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Greece 1M,4.528,4.379,21.613,1.833,+0.149,+3.40%,03:17:17,
,Greece 3M,3.707,3.938,5.640,3.277,-0.231,-5.87%,03:17:43,
,Greece 6M,3.675,3.939,4.180,3.246,-0.264,-6.70%,03:17:34,
,Greece 1Y,3.318,3.517,4.086,2.761,-0.199,-5.66%,22/05,
,Greece 2Y,2.936,2.903,3.028,2.898,+0.033,+1.14%,22/05,
,Greece 5Y,3.049,3.090,3.184,2.383,-0.041,-1.33%,03:22:59,
,Greece 7Y,3.185,3.224,4.428,2.758,-0.039,-1.21%,22/05,
,Greece 10Y,3.504,3.520,3.582,2.912,-0.016,-0.45%,03:23:15,
,Greece 15Y,3.771,3.809,3.965,3.367,-0.038,-1.00%,03:23:22,
,Greece 20Y,3.843,3.871,4.155,3.526,-0.028,-0.72%,03:23:17,
,Greece 30Y,4.085,4.103,4.119,3.383,-0.018,-0.44%,22/05,
