,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Ireland 1Y,3.545,3.718,6.225,2.987,-0.173,-4.65%,03:22:49,
,Ireland 2Y,3.048,3.080,3.113,2.995,0.000,0.00%,21/05,
,Ireland 3Y,2.866,2.926,2.923,1.338,-0.060,-2.05%,03:23:14,
,Ireland 4Y,2.776,2.817,2.841,2.098,-0.041,-1.46%,03:23:25,
,Ireland 5Y,2.771,2.812,2.872,2.034,-0.041,-1.46%,03:23:21,
,Ireland 6Y,2.775,2.817,2.883,2.068,-0.042,-1.49%,03:23:25,
,Ireland 7Y,2.737,2.773,3.221,2.055,-0.036,-1.30%,03:23:22,
,Ireland 8Y,2.516,2.569,2.579,2.481,0.000,0.00%,08/12,
,Ireland 9Y,2.850,2.824,2.862,2.824,+0.026,+0.92%,22/05,
,Ireland 10Y,2.898,2.928,9.925,2.183,-0.030,-1.02%,03:23:25,
,Ireland 15Y,3.007,3.054,3.157,2.500,-0.047,-1.54%,03:23:23,
,Ireland 20Y,3.088,3.115,3.215,2.580,-0.027,-0.87%,03:23:22,
,Ireland 25Y,3.093,3.141,3.231,2.705,-0.048,-1.53%,03:23:25,
,Ireland 30Y,3.130,3.176,3.260,2.680,-0.046,-1.45%,03:23:22,
