,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Mauritius 4M,3.217,3.450,3.450,3.250,-0.233,-6.75%,01:30:10,
,Mauritius 6M,3.412,3.450,3.450,3.450,-0.038,-1.10%,01:30:09,
,Mauritius 8M,3.504,3.600,3.550,3.550,-0.096,-2.65%,01:30:09,
,Mauritius 1Y,3.788,3.900,3.900,3.850,-0.112,-2.87%,01:30:09,
,Mauritius 2Y,3.838,3.895,3.895,3.895,0.000,0.00%,02:03:09,
,Mauritius 3Y,4.460,4.507,4.507,4.507,0.000,0.00%,02:03:10,
,Mauritius 4Y,4.845,4.891,4.891,4.888,-0.046,-0.94%,02:03:10,
,Mauritius 5Y,5.023,5.060,5.060,5.060,0.000,0.00%,02:03:10,
,Mauritius 10Y,5.510,5.559,5.560,5.559,-0.049,-0.88%,02:03:11,
,Mauritius 15Y,5.705,5.750,5.750,5.750,-0.045,-0.79%,02:03:04,
,Mauritius 20Y,5.817,5.860,5.860,5.860,0.000,0.00%,02:03:08,
