,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Switzerland Overnight,1.200,1.300,1.360,1.110,0.000,0.00%,02:44:53,
,Switzerland 1W,1.300,1.290,1.400,1.140,+0.010,+0.78%,03:23:25,
,Switzerland 1M,1.290,1.290,1.470,1.210,0.000,0.00%,03:23:25,
,Switzerland 2M,1.420,1.350,1.470,1.130,+0.070,+5.19%,03:23:20,
,Switzerland 3M,1.220,1.220,1.430,1.150,0.000,0.00%,03:23:21,
,Switzerland 6M,1.260,1.280,1.350,1.180,-0.020,-1.56%,03:23:25,
,Switzerland 1Y,1.260,1.250,1.490,1.180,+0.010,+0.80%,03:23:23,
,Switzerland 2Y,0.962,0.988,1.025,0.861,-0.026,-2.63%,03:06:00,
,Switzerland 3Y,0.946,0.976,1.026,0.866,-0.030,-3.07%,03:06:00,
,Switzerland 4Y,0.899,0.923,0.964,0.802,-0.024,-2.60%,03:21:00,
,Switzerland 5Y,0.851,0.882,0.906,0.768,-0.031,-3.51%,03:21:00,
,Switzerland 6Y,0.777,0.824,0.844,0.696,-0.047,-5.70%,03:21:00,
,Switzerland 7Y,0.786,0.831,0.834,0.710,-0.045,-5.42%,03:21:00,
,Switzerland 8Y,0.776,0.810,0.828,0.702,-0.034,-4.20%,03:21:00,
,Switzerland 9Y,0.732,0.781,0.821,0.665,-0.049,-6.27%,03:21:00,
,Switzerland 10Y,0.742,0.786,0.827,0.672,-0.044,-5.60%,03:21:00,
,Switzerland 15Y,0.737,0.767,0.785,0.643,-0.030,-3.91%,03:21:00,
,Switzerland 20Y,0.713,0.764,0.751,0.628,-0.051,-6.68%,03:21:00,
,Switzerland 30Y,0.663,0.711,0.712,0.582,-0.048,-6.75%,03:21:00,
,Switzerland 40Y,0.597,0.640,0.610,0.506,-0.043,-6.72%,03:21:00,
