,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Austria 3M,3.760,3.750,3.796,3.645,+0.009,+0.25%,03:16:18,
,Austria 6M,3.682,3.722,3.734,3.652,-0.040,-1.07%,03:22:41,
,Austria 1Y,3.466,3.535,3.622,3.524,-0.070,-1.97%,03:22:32,
,Austria 2Y,3.100,3.199,3.296,3.147,-0.099,-3.09%,03:22:58,
,Austria 3Y,2.935,3.014,3.027,2.957,-0.079,-2.62%,03:22:59,
,Austria 4Y,2.881,2.905,2.937,2.890,-0.024,-0.83%,03:22:53,
,Austria 5Y,2.879,2.900,2.946,2.885,-0.021,-0.72%,03:22:58,
,Austria 6Y,2.882,2.899,2.920,2.885,-0.017,-0.59%,03:23:03,
,Austria 7Y,2.896,2.923,2.945,2.894,-0.027,-0.92%,03:23:01,
,Austria 8Y,2.929,2.960,2.971,2.934,-0.031,-1.05%,03:22:59,
,Austria 9Y,2.961,2.974,2.998,2.949,-0.013,-0.44%,03:23:02,
,Austria 10Y,2.993,3.019,3.033,2.985,-0.026,-0.86%,03:22:58,
,Austria 15Y,3.177,3.210,3.230,3.168,-0.033,-1.03%,03:23:02,
,Austria 20Y,3.203,3.233,3.265,3.197,-0.030,-0.94%,03:23:02,
,Austria 25Y,3.194,3.238,3.234,3.189,-0.043,-1.34%,03:23:03,
,Austria 30Y,3.136,3.165,3.181,3.133,-0.029,-0.92%,03:23:02,
,Austria 40Y,3.207,3.238,3.266,3.218,-0.032,-0.97%,03:22:50,
,Austria 50Y,2.943,2.912,2.957,2.902,+0.000,+0.00%,22/05,
