,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Switzerland Overnight,0.870,1.160,1.000,0.870,-0.290,-25.00%,03:57:23,
,Switzerland 1W,1.190,1.250,1.400,1.180,-0.060,-4.80%,04:26:36,
,Switzerland 1M,1.230,1.270,1.240,1.220,-0.040,-3.15%,04:26:36,
,Switzerland 2M,1.370,1.350,1.440,1.260,+0.020,+1.48%,04:26:36,
,Switzerland 3M,1.270,1.280,1.460,1.270,-0.010,-0.78%,04:26:33,
,Switzerland 6M,1.320,1.330,1.380,1.300,-0.010,-0.75%,04:26:33,
,Switzerland 1Y,1.370,1.330,1.440,1.250,+0.040,+3.01%,04:26:35,
,Switzerland 2Y,1.119,1.127,1.143,1.102,-0.008,-0.71%,04:23:00,
,Switzerland 3Y,1.105,1.138,1.112,1.090,-0.033,-2.90%,04:16:00,
,Switzerland 4Y,1.080,1.103,1.083,1.061,-0.023,-2.09%,04:16:00,
,Switzerland 5Y,1.037,1.065,1.040,1.017,-0.028,-2.63%,04:16:00,
,Switzerland 6Y,0.974,0.982,0.982,0.958,-0.008,-0.81%,04:24:00,
,Switzerland 7Y,0.970,0.986,0.971,0.952,-0.016,-1.62%,04:11:00,
,Switzerland 8Y,0.962,0.978,0.973,0.943,-0.016,-1.64%,04:16:00,
,Switzerland 9Y,0.915,0.925,0.915,0.896,-0.010,-1.08%,04:11:00,
,Switzerland 10Y,0.909,0.919,0.920,0.889,-0.010,-1.09%,04:11:00,
,Switzerland 15Y,0.880,0.888,0.890,0.860,-0.008,-0.90%,04:11:00,
,Switzerland 20Y,0.850,0.873,0.850,0.834,-0.023,-2.63%,04:16:00,
,Switzerland 30Y,0.780,0.789,0.789,0.761,-0.009,-1.14%,04:11:00,
,Switzerland 40Y,0.692,0.718,0.692,0.673,-0.026,-3.62%,04:16:00,
