,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Greece 1M,8.550,10.810,12.063,8.550,-2.260,-20.91%,06:39:39,
,Greece 3M,3.678,4.178,3.747,3.678,-0.500,-11.97%,06:39:39,
,Greece 6M,3.572,3.898,3.589,3.558,-0.326,-8.36%,06:39:37,
,Greece 1Y,3.317,3.579,3.430,3.278,-0.262,-7.32%,07:39:54,
,Greece 2Y,3.036,3.012,3.065,2.977,+0.024,+0.80%,31/05,
,Greece 5Y,3.146,3.236,3.190,3.145,-0.090,-2.78%,07:39:38,
,Greece 7Y,3.308,3.372,3.335,3.308,-0.064,-1.90%,07:39:42,
,Greece 10Y,3.621,3.655,3.668,3.620,-0.034,-0.93%,07:39:53,
,Greece 15Y,3.844,3.908,3.888,3.843,-0.064,-1.64%,07:39:53,
,Greece 20Y,3.948,3.992,3.972,3.946,-0.044,-1.10%,07:39:55,
,Greece 30Y,4.168,4.215,4.201,4.166,-0.047,-1.12%,07:39:55,
