,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Uganda 3M,10.420,10.200,10.200,10.200,+0.221,+2.16%,08:03:56,
,Uganda 6M,13.578,13.250,13.250,12.500,+0.329,+2.48%,08:02:51,
,Uganda 1Y,13.707,13.800,13.800,13.800,-0.093,-0.68%,08:03:46,
,Uganda 2Y,15.658,15.300,15.300,15.300,+0.358,+2.34%,08:03:06,
,Uganda 3Y,15.823,15.463,15.463,15.463,+0.359,+2.32%,08:03:10,
,Uganda 5Y,16.403,15.982,15.982,15.982,+0.421,+2.63%,08:03:06,
,Uganda 10Y,17.363,16.865,16.865,16.865,+0.498,+2.95%,08:03:10,
,Uganda 15Y,16.748,16.300,16.300,16.300,+0.000,+0.00%,28/03,
