,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Mauritius 4M,3.424,3.250,3.450,3.450,+0.173,+5.34%,08:00:29,
,Mauritius 6M,3.414,3.450,3.450,3.450,-0.036,-1.06%,05:51:42,
,Mauritius 8M,3.556,3.550,3.600,3.550,+0.005,+0.15%,08:00:29,
,Mauritius 1Y,3.840,3.750,3.900,3.750,+0.090,+2.40%,08:00:29,
,Mauritius 2Y,3.629,3.693,3.629,3.629,-0.064,-1.72%,02:03:09,
,Mauritius 3Y,4.130,4.182,4.130,4.130,-0.052,-1.24%,02:03:10,
,Mauritius 4Y,4.519,4.570,4.519,4.519,-0.051,-1.10%,02:03:10,
,Mauritius 5Y,4.727,4.770,4.727,4.727,-0.043,-0.91%,02:03:10,
,Mauritius 10Y,5.191,5.250,5.191,5.191,-0.059,-1.12%,02:03:11,
,Mauritius 15Y,5.457,5.510,5.457,5.457,-0.053,-0.96%,02:03:04,
,Mauritius 20Y,5.683,5.730,5.683,5.683,-0.046,-0.81%,02:03:08,
