,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Slovenia 1Y,3.690,3.778,3.720,3.690,-0.088,-2.33%,31/05,
,Slovenia 3Y,3.390,3.538,3.425,3.389,-0.213,-5.91%,31/05,
,Slovenia 4Y,3.238,3.293,3.273,3.230,-0.069,-2.09%,31/05,
,Slovenia 5Y,3.114,3.176,3.146,3.089,-0.048,-1.52%,31/05,
,Slovenia 7Y,3.019,3.066,3.061,3.018,-0.033,-1.08%,31/05,
,Slovenia 8Y,3.040,3.055,3.094,3.040,-0.029,-0.94%,31/05,
,Slovenia 10Y,3.200,3.240,3.260,3.190,-0.053,-1.63%,31/05,
,Slovenia 15Y,3.369,3.404,3.423,3.367,-0.039,-1.14%,31/05,
,Slovenia 20Y,3.491,3.509,3.547,3.491,-0.066,-1.86%,31/05,
,Slovenia 25Y,3.592,3.609,3.643,3.592,-0.034,-0.94%,31/05,
