,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Namibia 3M,8.460,8.350,8.350,8.350,+0.000,+0.00%,02:03:13,
,Namibia 6M,9.219,9.150,9.150,9.150,+0.000,+0.00%,02:03:12,
,Namibia 9M,9.167,9.200,9.200,9.200,0.000,0.00%,02:03:12,
,Namibia 1Y,9.117,9.250,9.250,9.250,0.000,0.00%,02:03:12,
,Namibia 3Y,9.813,9.705,9.784,9.726,+0.107,+1.11%,06:36:55,
,Namibia 7Y,10.587,10.430,10.556,10.479,+0.158,+1.51%,07:28:51,
,Namibia 10Y,11.291,11.095,11.206,11.137,+0.196,+1.77%,07:28:51,
,Namibia 15Y,13.405,13.070,13.205,13.136,+0.335,+2.56%,06:36:56,
,Namibia 20Y,13.741,13.390,13.545,13.453,+0.351,+2.63%,06:57:25,
