,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Finland 2Y,3.201,3.185,3.214,3.143,+0.016,+0.50%,05:44:13,
,Finland 3Y,3.113,3.080,3.128,3.064,+0.033,+1.07%,05:44:11,
,Finland 4Y,3.053,3.046,3.071,3.008,+0.007,+0.23%,05:44:07,
,Finland 5Y,3.040,3.006,3.058,2.989,+0.034,+1.13%,05:44:16,
,Finland 6Y,3.035,3.007,3.051,2.963,+0.028,+0.93%,05:44:18,
,Finland 8Y,3.059,3.043,3.080,3.019,+0.016,+0.53%,05:44:13,
,Finland 10Y,3.146,3.121,3.163,3.104,+0.025,+0.80%,05:44:17,
,Finland 15Y,3.318,3.310,3.335,3.285,+0.008,+0.24%,05:44:17,
,Finland 30Y,3.193,3.178,3.208,3.168,+0.015,+0.47%,05:44:17,
