,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Germany 3M,3.635,3.615,3.635,3.572,+0.020,+0.55%,04:40:56,
,Germany 6M,3.560,3.541,3.583,3.544,+0.019,+0.54%,04:49:56,
,Germany 9M,3.463,3.455,3.484,3.456,+0.008,+0.23%,04:43:09,
,Germany 1Y,3.402,3.404,3.409,3.368,-0.002,-0.06%,04:50:16,
,Germany 2Y,3.092,3.080,3.098,3.075,+0.012,+0.39%,04:50:28,
,Germany 3Y,2.872,2.860,2.878,2.850,+0.012,+0.42%,04:50:20,
,Germany 4Y,2.734,2.718,2.739,2.714,+0.016,+0.59%,04:50:26,
,Germany 5Y,2.712,2.693,2.717,2.692,+0.019,+0.71%,04:50:17,
,Germany 6Y,2.627,2.611,2.632,2.608,+0.016,+0.61%,04:50:26,
,Germany 7Y,2.604,2.590,2.609,2.585,+0.014,+0.54%,04:50:29,
,Germany 8Y,2.611,2.595,2.616,2.591,+0.016,+0.62%,04:50:26,
,Germany 9Y,2.636,2.620,2.641,2.617,+0.016,+0.61%,04:50:26,
,Germany 10Y,2.6700,2.6550,2.6755,2.6510,+0.0150,+0.56%,04:50:17,
,Germany 15Y,2.859,2.850,2.865,2.847,+0.009,+0.32%,04:50:27,
,Germany 20Y,2.857,2.848,2.861,2.845,+0.009,+0.32%,04:50:27,
,Germany 25Y,2.846,2.837,2.850,2.835,+0.009,+0.32%,04:50:27,
,Germany 30Y,2.802,2.791,2.806,2.788,+0.011,+0.39%,04:50:25,
