,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Hong Kong 1W,4.205,4.220,4.230,4.060,-0.015,-0.37%,04:23:37,
,Hong Kong 1M,4.275,4.290,4.340,4.188,-0.015,-0.34%,04:23:17,
,Hong Kong 3M,4.398,4.360,4.410,4.300,+0.038,+0.87%,04:23:13,
,Hong Kong 6M,4.348,4.380,4.380,4.330,-0.032,-0.72%,04:22:56,
,Hong Kong 9M,4.328,4.360,4.430,4.330,-0.032,-0.73%,04:23:42,
,Hong Kong 1Y,4.327,4.360,4.400,4.330,-0.033,-0.76%,04:25:54,
,Hong Kong 2Y,3.944,4.044,4.069,3.981,-0.100,-2.46%,04:26:26,
,Hong Kong 3Y,3.653,3.771,3.770,3.727,-0.118,-3.13%,00:01:23,
,Hong Kong 5Y,3.596,3.702,3.702,3.649,-0.106,-2.86%,00:01:23,
,Hong Kong 7Y,3.573,3.669,3.669,3.612,-0.096,-2.62%,00:01:23,
,Hong Kong 10Y,3.828,3.930,3.930,3.888,-0.102,-2.60%,00:01:23,
,Hong Kong 15Y,4.230,4.317,4.317,4.277,-0.087,-2.02%,00:01:24,
,Hong Kong 20Y,4.262,4.373,4.373,4.332,-0.111,-2.53%,00:01:23,
