,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Indonesia 1M,5.774,5.562,5.774,5.774,+0.151,+2.69%,02:01:26,
,Indonesia 3M,5.898,5.768,5.898,5.898,+0.154,+2.68%,02:01:26,
,Indonesia 6M,6.111,6.017,6.111,6.111,+0.085,+1.41%,02:01:26,
,Indonesia 1Y,6.706,6.648,6.716,6.680,+0.110,+1.67%,05:20:58,
,Indonesia 3Y,6.841,6.815,6.844,6.825,+0.032,+0.47%,05:21:21,
,Indonesia 5Y,7.009,6.905,7.013,6.975,+0.141,+2.05%,05:05:13,
,Indonesia 10Y,7.043,6.932,7.054,7.006,+0.147,+2.13%,05:16:13,
,Indonesia 15Y,7.075,6.971,7.084,7.062,+0.114,+1.64%,05:05:14,
,Indonesia 20Y,7.129,7.013,7.129,7.094,+0.140,+2.00%,05:05:14,
,Indonesia 25Y,7.108,7.010,7.110,7.108,+0.099,+1.41%,05:05:15,
,Indonesia 30Y,7.069,6.970,7.070,7.054,+0.120,+1.73%,05:05:15,
