,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Spain 1M,3.915,3.766,3.825,3.762,+0.149,+3.96%,31/05,
,Spain 3M,3.681,3.660,3.660,3.614,+0.021,+0.57%,31/05,
,Spain 6M,3.393,3.386,3.437,3.378,+0.007,+0.21%,31/05,
,Spain 9M,3.517,3.530,3.557,3.479,-0.013,-0.38%,31/05,
,Spain 1Y,3.480,3.485,3.519,3.460,-0.004,-0.13%,31/05,
,Spain 2Y,3.257,3.277,3.336,3.261,-0.020,-0.61%,31/05,
,Spain 3Y,3.154,3.166,3.216,3.155,-0.013,-0.39%,31/05,
,Spain 4Y,3.085,3.086,3.132,3.064,-0.001,-0.03%,31/05,
,Spain 5Y,3.099,3.106,3.157,3.089,-0.007,-0.23%,31/05,
,Spain 6Y,3.122,3.103,3.152,3.083,+0.019,+0.63%,31/05,
,Spain 7Y,3.164,3.149,3.207,3.134,+0.015,+0.46%,31/05,
,Spain 8Y,3.230,3.212,3.271,3.198,+0.018,+0.54%,31/05,
,Spain 9Y,3.292,3.293,3.350,3.279,-0.001,-0.03%,31/05,
,Spain 10Y,3.378,3.380,3.437,3.364,-0.002,-0.06%,31/05,
,Spain 15Y,3.690,3.697,3.756,3.683,-0.007,-0.19%,31/05,
,Spain 20Y,3.817,3.824,3.883,3.811,-0.007,-0.18%,31/05,
,Spain 25Y,3.874,3.860,3.917,3.844,+0.013,+0.35%,31/05,
,Spain 30Y,3.987,3.996,4.055,3.982,-0.009,-0.24%,31/05,
