,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,New Zealand 1M,5.640,5.640,5.640,5.630,0.000,0.00%,23/05,
,New Zealand 2M,5.650,5.650,5.650,5.640,0.000,0.00%,22/05,
,New Zealand 3M,5.660,5.660,5.660,5.640,0.000,0.00%,23/05,
,New Zealand 4M,5.650,5.650,5.650,5.630,+0.000,+0.00%,22/05,
,New Zealand 5M,5.660,5.660,5.660,5.620,0.000,0.00%,23/05,
,New Zealand 6M,5.660,5.660,5.660,5.610,0.000,0.00%,23/05,
,New Zealand 1Y,5.393,5.413,5.420,5.390,-0.020,-0.37%,01:00:00,
,New Zealand 2Y,4.911,4.873,4.880,4.798,+0.000,+0.00%,23/05,
,New Zealand 5Y,4.665,4.633,4.669,4.545,+0.032,+0.69%,01:29:47,
,New Zealand 7Y,4.726,4.693,4.730,4.603,+0.033,+0.70%,01:29:45,
,New Zealand 10Y,4.844,4.808,4.848,4.713,+0.036,+0.75%,01:29:46,
,New Zealand 15Y,4.985,4.945,4.989,4.863,+0.040,+0.81%,01:29:45,
,New Zealand 20Y,5.093,5.050,5.097,4.975,+0.043,+0.85%,01:29:44,
