,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Belgium 1M,3.731,3.706,3.977,3.471,+0.025,+0.67%,08:36:33,
,Belgium 3M,3.637,3.604,4.032,0.000,+0.033,+0.92%,08:46:08,
,Belgium 6M,3.595,3.569,3.907,0.000,+0.026,+0.73%,08:45:38,
,Belgium 9M,3.562,3.538,3.765,3.229,+0.024,+0.68%,08:46:14,
,Belgium 2Y,3.218,3.217,3.221,2.319,+0.001,+0.03%,08:46:26,
,Belgium 3Y,3.039,3.022,3.042,2.173,+0.017,+0.56%,08:46:26,
,Belgium 4Y,2.976,3.002,2.978,2.117,-0.026,-0.87%,08:46:36,
,Belgium 5Y,2.928,2.915,3.069,2.160,+0.013,+0.45%,08:46:36,
,Belgium 6Y,2.944,2.923,2.951,2.210,+0.021,+0.72%,08:46:34,
,Belgium 7Y,2.974,2.966,2.994,2.295,+0.008,+0.27%,08:46:36,
,Belgium 8Y,3.000,2.997,3.037,2.330,+0.003,+0.10%,08:46:33,
,Belgium 9Y,3.005,2.991,3.082,2.370,+0.014,+0.47%,08:46:35,
,Belgium 10Y,3.136,3.123,3.202,1.393,+0.013,+0.42%,08:46:31,
,Belgium 15Y,3.321,3.311,3.405,2.773,+0.010,+0.30%,08:46:32,
,Belgium 20Y,3.441,3.441,3.537,2.907,0.000,0.00%,08:46:35,
,Belgium 30Y,3.540,3.539,3.625,3.024,+0.001,+0.03%,08:46:33,
,Belgium 50Y,3.026,3.037,3.121,2.561,-0.011,-0.36%,08:46:33,
