,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Mexico 1M,11.640,11.060,11.640,11.640,+0.580,+5.24%,31/05,
,Mexico 3M,11.632,11.160,11.632,11.632,+0.472,+4.23%,31/05,
,Mexico 6M,11.540,11.230,11.540,11.540,+0.310,+2.76%,31/05,
,Mexico 9M,11.477,11.290,11.477,11.477,+0.187,+1.66%,31/05,
,Mexico 1Y,10.722,10.730,10.722,10.722,-0.009,-0.08%,31/05,
,Mexico 3Y,10.516,10.124,10.222,10.124,+0.000,+0.00%,31/05,
,Mexico 5Y,10.257,9.874,9.913,9.874,+0.000,+0.00%,31/05,
,Mexico 7Y,10.199,9.834,9.894,9.834,+0.000,+0.00%,31/05,
,Mexico 10Y,10.124,9.774,9.835,9.766,+0.000,+0.00%,31/05,
,Mexico 15Y,10.170,9.794,9.875,9.794,+0.000,+0.00%,31/05,
,Mexico 20Y,10.229,9.844,9.927,9.844,+0.000,+0.00%,31/05,
,Mexico 30Y,10.192,9.824,10.192,10.192,+0.368,+3.75%,31/05,
