,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Ireland 1Y,3.542,3.710,3.647,3.518,-0.168,-4.53%,07:39:39,
,Ireland 2Y,3.192,3.141,3.232,3.106,+0.051,+1.62%,31/05,
,Ireland 3Y,2.929,3.032,2.972,2.922,-0.103,-3.40%,07:39:24,
,Ireland 4Y,2.838,2.928,2.889,2.831,-0.090,-3.07%,07:39:48,
,Ireland 5Y,2.848,2.929,2.900,2.839,-0.081,-2.77%,07:39:53,
,Ireland 6Y,2.848,2.945,2.901,2.843,-0.097,-3.29%,07:39:53,
,Ireland 7Y,2.828,2.901,2.879,2.823,-0.073,-2.52%,07:39:55,
,Ireland 8Y,2.516,2.569,2.579,2.481,0.000,0.00%,08/12,
,Ireland 9Y,2.992,2.985,3.021,2.942,+0.007,+0.23%,31/05,
,Ireland 10Y,2.984,3.047,3.037,2.980,-0.063,-2.07%,07:39:59,
,Ireland 15Y,3.081,3.172,3.131,3.075,-0.091,-2.87%,07:39:53,
,Ireland 20Y,3.151,3.208,3.199,3.148,-0.057,-1.78%,07:39:56,
,Ireland 25Y,3.168,3.251,3.215,3.162,-0.083,-2.55%,07:39:55,
,Ireland 30Y,3.204,3.277,3.247,3.198,-0.073,-2.23%,07:39:54,
