,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Poland Overnight,5.600,5.470,5.700,4.900,+0.130,+2.38%,04:45:51,
,Poland 1M,5.600,5.500,5.760,5.600,+0.100,+1.82%,04:33:01,
,Poland 2M,5.790,5.500,5.800,5.500,+0.290,+5.27%,04:23:18,
,Poland 1Y,5.020,5.093,5.272,5.048,-0.073,-1.43%,04:48:52,
,Poland 2Y,5.180,5.328,5.422,5.262,-0.148,-2.79%,04:48:33,
,Poland 3Y,5.372,5.471,5.440,5.397,-0.099,-1.80%,04:49:56,
,Poland 4Y,5.438,5.490,5.497,5.447,-0.052,-0.95%,04:49:56,
,Poland 5Y,5.588,5.645,5.645,5.609,-0.057,-1.01%,04:50:01,
,Poland 6Y,5.622,5.667,5.660,5.637,-0.044,-0.79%,04:48:33,
,Poland 7Y,5.501,5.508,5.680,5.508,0.000,0.00%,15/05,
,Poland 8Y,5.740,5.794,5.877,5.726,-0.054,-0.93%,29/05,
,Poland 10Y,5.727,5.758,5.770,5.738,-0.030,-0.53%,04:50:01,
