,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Portugal 3M,3.700,3.723,3.700,3.697,-0.023,-0.62%,04:26:26,
,Portugal 6M,3.680,3.712,3.680,3.671,-0.032,-0.86%,04:22:37,
,Portugal 1Y,3.522,3.549,3.535,3.521,-0.027,-0.76%,04:24:37,
,Portugal 2Y,3.056,3.065,3.071,3.032,-0.009,-0.29%,04:26:34,
,Portugal 3Y,2.936,2.942,2.938,2.912,-0.006,-0.20%,04:26:31,
,Portugal 4Y,2.838,2.840,2.843,2.819,-0.002,-0.07%,04:26:33,
,Portugal 5Y,2.881,2.884,2.886,2.859,-0.003,-0.10%,04:26:36,
,Portugal 6Y,2.911,2.929,2.914,2.887,-0.018,-0.61%,04:26:35,
,Portugal 7Y,2.920,2.936,2.923,2.905,-0.016,-0.54%,04:26:33,
,Portugal 8Y,2.982,2.996,2.987,2.963,-0.014,-0.47%,04:26:35,
,Portugal 9Y,3.058,3.075,3.061,3.038,-0.017,-0.55%,04:26:12,
,Portugal 10Y,3.261,3.259,3.265,3.247,+0.002,+0.06%,04:26:27,
,Portugal 15Y,3.477,3.487,3.482,3.462,-0.010,-0.29%,04:26:33,
,Portugal 20Y,3.562,3.573,3.567,3.551,-0.011,-0.31%,04:26:37,
,Portugal 30Y,3.663,3.671,3.670,3.658,-0.008,-0.22%,04:26:32,
