,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Brazil 3M,10.608,10.300,10.300,10.300,+0.308,+2.99%,11:11:39,
,Brazil 6M,10.498,10.315,10.310,10.310,+0.183,+1.77%,11:11:39,
,Brazil 9M,10.533,10.465,10.465,10.465,+0.068,+0.65%,11:11:39,
,Brazil 1Y,10.535,10.579,10.595,10.585,-0.044,-0.42%,12:00:23,
,Brazil 2Y,10.477,10.920,10.925,10.925,-0.443,-4.06%,11:51:23,
,Brazil 3Y,11.031,11.090,11.090,11.085,-0.059,-0.53%,11:51:25,
,Brazil 5Y,11.497,11.560,11.552,11.535,-0.063,-0.55%,11:51:20,
,Brazil 8Y,11.705,11.797,11.750,11.750,-0.091,-0.78%,11:11:39,
,Brazil 10Y,11.712,11.810,11.760,11.760,-0.099,-0.83%,11:11:39,
